Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Forest area (% of land area),AG.LND.FRST.ZS,East Asia & Pacific (excluding high income),EAP,29.1182836938866,28.8787217125815,30.2211269975806,30.3489231481857,30.349838038918,30.3978455200357,30.445819729641,30.493382897753,30.5126618369843,30.5605968976033,..,..
Forest area (% of land area),AG.LND.FRST.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,28.9027083833819,28.6925500098254,30.0653988863597,30.1955018764199,30.1977661920145,30.2474800867242,30.2971600901202,30.3464279431611,30.3673334512939,30.4169723411631,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Euro area,EMU,33.4226254644256,36.4511724014054,38.2886443231227,38.3424329853776,38.4214377029921,38.4755940115801,38.5299337534434,38.5864873497182,38.6407612725581,38.6983532052914,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Europe & Central Asia,ECS,..,37.8662429161615,38.4227676321406,38.4443525858317,38.4689780914735,38.4847788293025,38.5016931649387,38.5243300531653,38.5409994875957,38.5583485988133,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Europe & Central Asia (excluding high income),ECA,..,9.99387200003858,10.9434320636392,10.9750677005203,11.0131652717457,11.0573734128931,11.1018442074411,11.1524330510264,11.1967355491298,11.2412501066395,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,38.7926408376561,39.2234378060618,39.2421666752289,39.2616544516438,39.2741558748129,39.2869462481332,39.3051266358553,39.317684732671,39.330389676677,..,..
Forest area (% of land area),AG.LND.FRST.ZS,European Union,EUU,36.0477774855482,37.985952934008,39.5948492950283,39.6441651568759,39.7050631451123,39.7488789032839,39.7936147437378,39.8387815178562,39.8828795862797,39.9291602010185,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Fragile and conflict affected situations,FCS,29.9340742095121,27.5105207245986,23.6598244181023,23.5286678423598,23.4025184457716,23.2793048477082,23.153772014167,23.0314785494646,22.9070028606346,22.7884218951678,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Heavily indebted poor countries (HIPC),HPC,35.2034625300231,32.477021401215,27.9742509755845,27.7966008687619,27.6241210762792,27.4527875961795,27.2787325179957,27.1077926444533,26.9347567808728,26.7630800789891,..,..
Forest area (% of land area),AG.LND.FRST.ZS,High income,HIC,28.9862684327818,35.5916053725076,36.0214181466183,36.0418285109073,36.0461036388037,36.0510796953059,36.0568458565839,36.0635867446266,36.1927275087533,36.2114810620203,..,..
Forest area (% of land area),AG.LND.FRST.ZS,IBRD only,IBD,..,34.4012444513487,33.8931160757313,33.8870518181015,33.8494193020666,33.8332636376027,33.8149555550654,33.7996464436077,33.7745996726421,33.7580959081929,..,..
Forest area (% of land area),AG.LND.FRST.ZS,IDA & IBRD total,IBT,..,33.5672025199487,32.0325296196315,31.9875153753033,31.920327209856,31.8689626408987,31.814942260139,31.7634676180329,31.7049366297868,31.6520266779305,..,..
Forest area (% of land area),AG.LND.FRST.ZS,IDA blend,IDB,36.4678726805473,32.5085715793012,31.0933993080332,31.004042560109,30.9228712873143,30.835253800064,30.7418601038835,30.6476713387614,30.5540595132963,30.460472652134,..,..
Forest area (% of land area),AG.LND.FRST.ZS,IDA only,IDX,33.5386566291765,30.5369417109873,25.7986846904448,25.629020817101,25.4631414704528,25.2982280614028,25.1297138314593,24.9632480037237,24.7953857845211,24.6265206650745,..,..
